gid,dep_name,country,state,latitude,longitude,commodity,dep_type,type_detail,model_code,model_name,metallic,citation
1,Obatu-Shela,Afghanistan,,32,66.2833,Aluminum,Surficial,,,,,"Orris and Bliss, 2002"
2,Hagigak,Afghanistan,,34.6778,68.0625,Barite,Hydrothermal,,,,,"Orris and Bliss, 2002"
3,Darrahe-Nur,Afghanistan,,34.6611,70.5417,"Beryllium-niobium,tin",Igneous,,,,,"Orris and Bliss, 2002"
4,Loghar,Afghanistan,,34.167,68.033,Chromium,Igneous,,,,,"Orris and Bliss, 2002"
5,Aynak,Afghanistan,,34.266,69.301,Copper,Sedimentary,,,,,"ESCAP, 1996"
6,Kundalyan,Afghanistan,,32.3128,66.5328,Copper-molybdenum-gold,Hydrothermal,,,,,"Orris and Bliss, 2002"
7,Darkhenj,Afghanistan,,35.4139,69.7583,Emerald,Gemstone,,,,,"Orris and Bliss, 2002"
8,Samty,Afghanistan,,37.584,69.859,Gold,Surficial,,,,,"Orris and Bliss, 2002"
9,Hajigak,Afghanistan,,34.6667,68.0667,Iron,Unclassified,,,,,"Orris and Bliss, 2002"
10,Kulam deposit,Afghanistan,,35.2019,70.3344,Kunzite,Igneous,,,,,"Orris and Bliss, 2002"
11,Sary Sang,Afghanistan,,36.1667,70.8167,Lapis Lazuli,Gemstone,,,,,"Orris and Bliss, 2002"
12,Pasghushta,Afghanistan,,35.3928,71.0144,Lithium-tantalum,Igneous,,,,,"Orris and Bliss, 2002"
13,Achin,Afghanistan,,34.05,70.7167,Magnesite-talc,Igneous,,,,,"Orris and Bliss, 2002"
14,Khanneshin,Afghanistan,,30.0333,63.5833,Phosphorous-rare earths,Igneous,,,,,"Orris and Bliss, 2002"
15,Jegdalek,Afghanistan,,34.4333,69.8167,Ruby,Gemstone,,,,,"Orris and Bliss, 2002"
16,Nilaw-Kolum,Afghanistan,,35.2083,70.3539,Tourmaline,Gemstone,,,,,"Orris and Bliss, 2002"
17,Gove,Australia,,-12.3,136.75,Aluminum,Surficial,,,,,"Loughnan and Sadleir, 1984"
18,Mitchel Plateau,Australia,,-15.2167,125.9333,Aluminum,Surficial,,,,,"Loughnan and Sadleir,1984"
19,Mount Saddleback,Australia,,-32.9333,116.1,Aluminum,Surficial,,,,,"Loughnan and Sadleir, 1984"
20,Weipa,Australia,,-12.6667,141.9167,Aluminum,Surficial,,,,,"Loughnan and Sadleir, 1984"
21,Gurrunda,Australia,,-34.684,149.483,Barite,Sedimentary,,,,,"GSA, OZMIN"
22,Arumpo,Australia,,-33.75,142.8333,Clay (bentonite),Sedimentary,,,,,"Lishmund and others, 1999"
23,Gurumundi,Australia,,-26.4333,149.8833,Clay (bentonite),Unclassified,,,,,"Cooper and others, 1996"
24,Cape York,Australia,,-12.6833,141.8667,Clay (kaolin),Surficial,,,,,"Driessen, 1990"
25,Skarndon River,Australia,,-11.7333,142.05,Clay (kaolin),Surficial,,,,,"Cooper and others, 1996"
26,Mount Lyell,Australia,,-42.1167,145.55,Copper,Hydrothermal,,,,,"Hughes, 1990"
27,Cadia Hill/Ridgeway,Australia,,-33.4667,149,Copper-gold,Hydrothermal,,,,,"Singer and others, 2002"
28,Endeavour,Australia,,-32.9167,148.0333,Copper-gold,Hydrothermal,,,,,"Singer and others, 2002"
29,Coppin Gap,Australia,,-20.8833,120.1,Copper-molybdenum,Hydrothermal,,,,,"Singer and others, 2002"
30,Olympic Dam,Australia,,-30.45,136.8833,"Copper-uranium,lead",Unclassified,,,,,"Hughes, 1990"
31,Mount Isa,Australia,,-20.7,139.3,Copper-zinc-lead-silver,Sedimentary,,,,,"Hughes, 1990"
32,Argyle,Australia,,-16.7144,128.3839,Diamond,Igneous,,,,,"Hughes, 1990"
33,Merlin,Australia,,-16.8508,136.3451,Diamond,Igneous,,,,,"GSA, OZMIN"
34,Kalgoorlie,Australia,,-30.75,121.5333,Gold,Hydrothermal,,,,,"Hughes, 1990"
35,Palmer River,Australia,,-15.8816,143.4654,Gold,Surficial,,,,,"GSA, OZMIN"
36,Lake Macleod,Australia,,-24.1667,113.6333,Halite-gypsum,Sedimentary,,,,,"Industrial Minerals, 1996"
37,Iron Range,Australia,,-12.7157,143.2967,Iron,Sedimentary,,,,,"GSA, OZMIN"
38,Koolanooka,Australia,,-29.217,116.233,Iron,Sedimentary,,,,,"GSA, OZMIN"
39,Middleback Range,Australia,,-33.05,137.15,Iron,Sedimentary,,,,,"GSA, OZMIN"
40,Mt Whaleback,Australia,,-23.3623,119.6846,Iron,Sedimentary,,,,,"GSA, OZMIN"
41,Mt. Newman,Australia,,-23.383,119.666,Iron,Sedimentary,,,,,"GSA, OZMIN"
42,Hilton,Australia,,-20.55,139.2833,Lead-zinc-silver,Hydrothermal,,,,,"Hughes, 1990"
43,McArthur River,Australia,,-16.5,136.0833,Lead-zinc-silver,Hydrothermal,,,,,"Hughes, 1990"
44,Greenbushes,Australia,,-33.8594,116.0653,Lithium,Igneous,,,,,"Driessen, 1990"
45,Kunwarara,Australia,,-22.9167,150.2167,Magnesite,Sedimentary,,,,,"Driessen, 1990"
46,Agnew/Leinster,Australia,,-27.4667,120.7,Nickel-copper,Igneous,,,,,"Hughes, 1990"
47,Kambalda,Australia,,-31.2,121.67,Nickel-copper,Igneous,,,,,"Hughes, 1990"
48,Mt Keith,Australia,,-27.7167,120.5333,Nickel-copper,Igneous,,,,,"Hughes, 1990"
49,Greenvale,Australia,,-18.9167,144.9833,Nickel-copper-cobalt,Surficial,,,,,"Hughes, 1990"
50,Coober Pedy,Australia,,-28.8333,134.75,Opal,Gemstone,,,,,"Keeling and others, 1990"
51,Christmas Island,Australia,,-10.4219,105.7158,Phosphorous,Surficial,,,,,"Barret, 1989"
52,Georgina Basin,Australia,,-21.8833,139.9667,Phosphorous,Sedimentary,,,,,"Industrial Minerals, 1998"
